ISIN,Code,SYMBOL,SERIES,EXCH
INE306A01021,BAJAJHIND,BAJAJHIND,EQ,NSE
INE118A01012,BAJAJHLDNG,BAJAJHLDNG,EQ,NSE
INE377Y01014,BAJAJHFL,BAJAJHFL,EQ,NSE
INE083D01012,BALPHARMA,BALPHARMA,EQ,NSE
INE050E01027,BALAMINES,BALAMINES,EQ,NSE
INE0PQ601019,BALAJIPHOS,BALAJIPHOS,SM,NSE
INE618N01022,BALAXI,BALAXI,EQ,NSE
INE787D01026,BALKRISIND,BALKRISIND,EQ,NSE
INE875R01011,BALKRISHNA,BALKRISHNA,EQ,NSE
INE164A01016,BALMLAWRIE,BALMLAWRIE,EQ,NSE
INE119A01028,BALRAMCHIN,BALRAMCHIN,EQ,NSE
INE655B01011,BANARBEADS,BANARBEADS,EQ,NSE
INE213C01025,BANCOINDIA,BANCOINDIA,EQ,NSE
INE545U01014,BANDHANBNK,BANDHANBNK,EQ,NSE
INF194KA1U07,IDFNIFTYET,IDFNIFTYET,EQ,NSE
INE863I01016,BANG,BANG,EQ,NSE
INE028A01039,BANKBARODA,BANKBARODA,EQ,NSE
INE084A01016,BANKINDIA,BANKINDIA,EQ,NSE
INE457A01014,MAHABANK,MAHABANK,EQ,NSE
INE862Y01015,BANKA,BANKA,EQ,NSE
INE186H01022,BASML,BASML,EQ,NSE
INE459A01010,BANARISUG,BANARISUG,EQ,NSE
INE0B9K01025,BANSALWIRE,BANSALWIRE,EQ,NSE
INE629D01020,BANSWRAS,BANSWRAS,EQ,NSE
INE139I01011,BVCL,BVCL,EQ,NSE
INE382M01027,BARBEQUE,BARBEQUE,EQ,NSE
INE0QX401014,BARFLEX,BARFLEX,ST,NSE
INF251K01TL6,BBNPNBETF,BBNPNBETF,EQ,NSE
INF251K01SU9,BBNPPGOLD,BBNPPGOLD,EQ,NSE
INE855F01042,ASMS,ASMS,EQ,NSE
INE373A01013,BASF,BASF,EQ,NSE
INE0OCC01013,BASILIC,BASILIC,SM,NSE
INE176A01028,BATAINDIA,BATAINDIA,EQ,NSE
INE0JFJ01011,BAWEJA,BAWEJA,SM,NSE
INE462A01022,BAYERCROP,BAYERCROP,EQ,NSE
INE412G01024,BCLIND,BCLIND,EQ,NSE
INE639X01027,BEACON,BEACON,SM,NSE
INE520H01022,BEARDSELL,BEARDSELL,EQ,NSE
INE844K01012,BEDMUTHA,BEDMUTHA,EQ,NSE
INE344T01014,BELLACASA,BELLACASA,EQ,NSE
INE894V01022,BELRISE,BELRISE,EQ,NSE
INE0N7W01012,BLAL,BLAL,EQ,NSE
INE258A01016,BEML,BEML,EQ,NSE
INE463A01038,BERGEPAINT,BERGEPAINT,EQ,NSE
INE052T01013,BESTAGRO,BESTAGRO,EQ,NSE
INE351Y01019,BETA,BETA,SM,NSE
INE0HQI01014,BEWLTD,BEWLTD,SM,NSE
INE878K01010,BFINVEST,BFINVEST,EQ,NSE
INE243D01012,BFUTILITIE,BFUTILITIE,EQ,NSE
INF0QA701714,BANKBETF,BANKBETF,EQ,NSE
INF0QA701854,LIQUIDBETF,LIQUIDBETF,EQ,NSE
INF0QA701722,NIFTYBETF,NIFTYBETF,EQ,NSE
INE0ZRC01017,BHADORA,BHADORA,SM,NSE
INE354C01027,BHAGERIA,BHAGERIA,EQ,NSE
INE414D01027,BHAGCHEM,BHAGCHEM,EQ,NSE
INE474E01029,BHANDARI,BHANDARI,EQ,NSE
INE922A01025,BEPL,BEPL,EQ,NSE
INE464A01036,BBL,BBL,EQ,NSE
INE171Z01026,BDL,BDL,EQ,NSE
INE263A01024,BEL,BEL,EQ,NSE
INE465A01025,BHARATFORG,BHARATFORG,EQ,NSE
INE561C01019,BHARATGEAR,BHARATGEAR,EQ,NSE
INE029A01011,BPCL,BPCL,EQ,NSE
INE838B01013,BHARATRAS,BHARATRAS,EQ,NSE
INE727S01012,BRNL,BRNL,EQ,NSE
INE415D01024,BHARATSE,BHARATSE,EQ,NSE
INE316L01019,BHARATWIRE,BHARATWIRE,EQ,NSE
INE397D01024,BHARTIARTL,BHARTIARTL,EQ,NSE
INE343G01021,BHARTIHEXA,BHARTIHEXA,EQ,NSE
INE828A01016,BIL,BIL,EQ,NSE
INE257A01026,BHEL,BHEL,EQ,NSE
INE412U01025,BIGBLOC,BIGBLOC,EQ,NSE
INE00E101023,BIKAJI,BIKAJI,EQ,NSE
INE0SQH01013,BIKEWO,BIKEWO,ST,NSE
