ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE999K01014,GREENPOWER,GREENPOWER,EQ,NSE,GREENPOWER,,GREENPOWER.NS
INE750A01020,ORIENTHOT,ORIENTHOT,EQ,NSE,ORIENTHOT,,ORIENTHOT.NS
INE592A01026,ORIENTPPR,ORIENTPPR,EQ,NSE,ORIENTPPR,,ORIENTPPR.NS
INE609C01024,ORIENTLTD,ORIENTLTD,EQ,NSE,ORIENTLTD,,ORIENTLTD.NS
INE0PPK01015,ORIENTTECH,ORIENTTECH,EQ,NSE,ORIENTTECH,,ORIENTTECH.NS
INE959C01023,OAL,OAL,EQ,NSE,OAL,,OAL.NS
INE426Z01016,OBCL,OBCL,EQ,NSE,OBCL,,OBCL.NS
INE725E01024,ORISSAMINE,ORISSAMINE,EQ,NSE,ORISSAMINE,,ORISSAMINE.NS
INE849L01019,ORTEL,ORTEL,BZ,NSE,ORTEL,,ORTEL.NS
INE0RMF01018,OSELDEVICE,OSELDEVICE,ST,NSE,OSELDEVICE,,OSELDEVICE.NS
INE142A01012,OSWALAGRO,OSWALAGRO,EQ,NSE,OSWALAGRO,,OSWALAGRO.NS
INE143A01010,OSWALGREEN,OSWALGREEN,EQ,NSE,OSWALGREEN,,OSWALGREEN.NS
INE0BYP01024,OSWALPUMPS,OSWALPUMPS,EQ,NSE,OSWALPUMPS,,OSWALPUMPS.NS
INE0R8M01017,OWAIS,OWAIS,SM,NSE,OWAIS,,OWAIS.NS
INE953R01016,PNGJL,PNGJL,EQ,NSE,PNGJL,,PNGJL.NS
INE0XUS01012,PSRAJ,PSRAJ,SM,NSE,PSRAJ,,PSRAJ.NS
INE179A01014,PGHH,PGHH,EQ,NSE,PGHH,,PGHH.NS
INE761H01022,PAGEIND,PAGEIND,EQ,NSE,PAGEIND,,PAGEIND.NS
INE420C01059,PAISALO,PAISALO,EQ,NSE,PAISALO,,PAISALO.NS
INE551D01018,PAKKA,PAKKA,EQ,NSE,PAKKA,,PAKKA.NS
INE471W01019,PALASHSECU,PALASHSECU,EQ,NSE,PALASHSECU,,PALASHSECU.NS
INE922B01023,PANACEABIO,PANACEABIO,EQ,NSE,PANACEABIO,,PANACEABIO.NS
