SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ACMESOLAR,EQ,283.45,291,281.5,287.2,286.6,282.15,1169084,336230513.80,02-Sep-2025,24251,INE622W01025
ACE,EQ,1075,1093.9,1063.2,1082.3,1081.7,1071.5,261675,283739556.30,02-Sep-2025,17976,INE731H01025
ACTIVEINFR,SM,170,170,170,170,170,170,1800,306000.00,02-Sep-2025,3,INE0KLO01025
ACUTAAS,EQ,1415,1428.9,1397,1406.1,1406.3,1413.6,154156,216733076.80,02-Sep-2025,15333,INE00FF01025
ADANIENSOL,EQ,772.9,772.95,761.2,763.05,762.9,766.65,567133,435142857.35,02-Sep-2025,23215,INE931S01010
ADANIENT,EQ,2291,2302,2264,2274.2,2278,2284.2,481894,1100361913.10,02-Sep-2025,37899,INE423A01024
ADANIGREEN,EQ,934.8,943.45,929,933.85,932.95,931.55,967218,905744447.95,02-Sep-2025,29826,INE364U01010
ADANIPORTS,EQ,1340.9,1348.8,1328.2,1336.2,1337,1335.3,1495993,2002391210.50,02-Sep-2025,58052,INE742F01042
ADANIPOWER,EQ,611.7,611.7,601.5,608.35,606.95,606.85,2150899,1304963192.00,02-Sep-2025,35119,INE814H01011
ATGL,EQ,594.45,603,593,595.85,595.05,594.15,381413,227844844.10,02-Sep-2025,13192,INE399L01023
LAWSIKHO,SM,145.45,146.5,145,146.35,146.35,148,13000,1893750.00,02-Sep-2025,22,INE0RDH01021
ADFFOODS,EQ,211,223.9,210.2,220.52,223.9,210.28,127788,27749746.85,02-Sep-2025,4998,INE982B01027
ABSLAMC,EQ,846.8,846.8,821,826.3,822,838.1,208122,173656285.45,02-Sep-2025,13131,INE404A01024
ABCAPITAL,EQ,282,282.3,273.6,274.85,274.55,280.05,5144661,1420546172.30,02-Sep-2025,41851,INE674K01013
ABFRL,EQ,83.61,85.4,82.75,83.32,82.95,83.35,15431034,1297982087.24,02-Sep-2025,59651,INE647O01011
ABLBL,EQ,140.94,142.95,139.49,140.96,140.99,139.14,1599328,226375246.39,02-Sep-2025,30703,INE14LE01019
BIRLAMONEY,EQ,180.35,183.54,178,179.1,179.49,180.81,96851,17448273.72,02-Sep-2025,1994,INE865C01022
ABREL,EQ,1788.7,1859,1775,1821.3,1822.3,1777.2,142965,261656573.70,02-Sep-2025,14833,INE055A01016
CPPLUS,EQ,1260,1310.6,1257,1310.6,1310.6,1248.2,296171,384020883.00,02-Sep-2025,7239,INE819V01029
AUSL,ST,37.8,37.8,37.7,37.7,37.7,37.8,4000,151000.00,02-Sep-2025,2,INE01YQ01013
AVL,EQ,503.6,508.7,487.55,489.6,491.85,498.75,265502,133140909.40,02-Sep-2025,12667,INE679V01027
BSLGOLDETF,EQ,94.59,94.59,91.56,92.44,92.04,92.29,288099,26620892.46,02-Sep-2025,1183,INF209KB18D3
