SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521016,"INDO COUNT INDUSTRIES LTD.",B,STK,249.95,249.95,237.6,238.55,239.65,245.7,664,24278,5837809,
521018,"MARAL OVERSEAS LTD.",B,STK,55.3,55.3,52.2,52.95,52.2,55.15,118,1700,91023,
521034,"SOMA TEXTILES & INDUSTRIES LTD",T,STK,81.8,85.99,77.82,83.03,83.03,81.91,100,12972,1057146,
521048,"ADVANCE LIFESTYLES LTD.",X,STK,29.7,29.7,25.88,27.5,27.5,27.34,33,1520,40384,
521054,"KAKATIYA TEXTILES LTD.",XT,STK,18.15,19.04,17.25,18.83,18.79,18.15,30,9889,181724,
521062,"PERFECT-OCTAVE MEDIA PROJECTS",X,STK,3.91,4.2,3.91,4,3.93,4.14,27,4153,16520,
521064,"TRIDENT LTD.",A,STK,28.86,29.02,28.2,28.35,28.35,28.42,3711,985830,28193885,
521068,"HISAR SPINNING MILLS LTD.",P,STK,49.59,54,49.59,54,54,52.2,3,700,35856,
521070,"ALOK INDUSTRIES LTD.",A,STK,18.63,18.74,17.85,18.12,18.12,18.39,2177,987774,18208398,
521080,"PASARI SPINNING MILLS LTD.",X,STK,8.6,8.79,8.12,8.26,8.26,8.56,12,795,6749,
521097,"AMARJOTHI SPINNING MILLS LTD.",X,STK,152.3,156.95,152.3,153.9,153.45,152.3,39,1380,212223,
521105,"OLYMPIA INDUSTRIES LTD.",X,STK,35,38.9,34.11,38.46,38.46,35.27,101,10801,405913,
521109,"NAGREEKA EXPORTS LTD.",B,STK,26.73,27,25.8,26.89,26.81,26.24,52,7853,204575,
521113,"SUDITI INDUSTRIES LTD.",XT,STK,60,62.9,58.65,62.57,62.5,61.73,138,32839,1942285,
521131,"Shree Bhavya Fabrics Limited",X,STK,27.99,29.49,27.31,28.37,28.37,27.14,80,8039,226997,
521137,"EUREKA INDUSTRIES LTD.",XT,STK,9.79,9.79,9.03,9.44,9.44,9.5,76,35579,340723,
521141,"ADITYA SPINNERS LTD.",X,STK,21.39,21.69,21.06,21.63,21.63,21.49,17,207,4443,
521149,"PRIME URBAN DEVELOPMENT INDIA",XT,STK,13.61,14.29,12.93,13.61,13.61,13.61,26,2356,30736,
521151,"DHANLAXMI FABRICS LTD.",X,STK,54.55,55.55,54.55,55.55,55.55,56.9,6,33,1829,
521161,"SRI LAKSHMI SARASWATHI TEXTILE",X,STK,40,40,39.1,39.9,39.9,38.15,12,232,9257,
521163,"ZODIAC CLOTHING CO.LTD.",B,STK,97.01,104.5,90.25,97.82,97.82,102.7,535,11431,1117364,
521178,"SRI RAMAKRISHNA MILLS (COIMBAT",X,STK,51.24,55,51.24,52.13,53.9,51.49,51,7039,377514,
521180,"SUPER SPINNING MILLS LTD.",B,STK,9.56,9.7,9.42,9.7,9.7,9.74,10,804,7617,
521194,"SIL INVESTMENTS LTD.",B,STK,592,597.35,577.1,590,590,594.8,58,1438,845290,
521200,"SURYALAKSHMI COTTON MILLS LTD.",B,STK,65.29,66.8,60,65.64,65.64,65.94,92,2655,172251,
521206,"SAMTEX FASHIONS LTD.",X,STK,2.38,2.54,2.38,2.44,2.41,2.34,68,10147,25010,
521210,"CITYMAN LTD.",X,STK,16.25,16.5,16.15,16.5,16.5,17,3,836,13555,
521216,"DHANALAXMI ROTO SPINNERS LTD.",X,STK,84.2,86.24,83.37,84.41,85,83.37,21,782,66627,
521220,"DAMODAR INDUSTRIES LTD.",B,STK,38.09,38.09,35,35.22,35.22,36.46,110,1552,55547,
521222,"SANBLUE CORPORATION LTD.",XT,STK,54.06,54.06,51.49,54.05,54.05,51.49,4,13,677,
521226,"UNIROYAL INDUSTRIES LTD.",X,STK,20.5,23.49,20.5,22,22,20.39,29,5932,133295,
521228,"TATIA GLOBAL VENNTURE LTD.",X,STK,2.95,2.99,2.92,2.93,2.93,2.95,230,75503,222797,
521234,"SRI NACHAMMAI COTTON MILLS LTD",X,STK,33.99,33.99,32.94,32.95,33.36,33.13,7,574,18915,
521238,"BHARAT GLOBAL DEVELOPERS LIMIT",B,STK,156.1,156.1,156.1,156.1,156.1,148.7,117,7113,1110339,
521240,"SAMBANDAM SPINNING MILLS LTD.",X,STK,118,118,116.2,117.45,116.2,117.75,15,516,60847,
521244,"MKP Mobility Limited",X,STK,128.5,133.3,122.1,133.3,133.3,128.5,11,181,23264,
521246,"PARAS PETROFILS LTD.",B,STK,2.36,2.47,2.36,2.41,2.4,2.39,97,12609,30199,
521248,"KITEX GARMENTS LTD.",B,STK,191.65,195.75,179.75,179.8,179.8,189.2,2334,230041,42515212,
522001,"CRANEX LTD.",X,STK,84.25,87.99,84.25,87.57,87.57,85.56,37,2780,238159,
522004,"BATLIBOI LTD.",X,STK,105.9,105.9,101,101.35,101,102.3,243,26204,2700156,
522005,"AUSTIN ENGINEERING CO.LTD.",X,STK,187,190,182,189.1,188,183.6,23,741,139528,
522014,"UNITED DRILLING TOOLS LTD.",B,STK,204.9,205,200.9,202.2,202.15,200.6,20,70,14234,
522017,"FLUIDOMAT LTD.",XT,STK,964.1,973.95,964.1,971.75,965,963.8,140,5215,5060339,
522027,"EMA INDIA LTD.",XT,STK,173.4,173.4,173.4,173.4,173.4,170,5,355,61557,
522029,"WINDSOR MACHINES LTD.",B,STK,324.1,326.3,315,316.3,318,323.75,120,2899,930484,
522034,"SHANTHI GEARS LTD.",B,STK,580,584.5,565,566.35,565.65,574,398,5264,3018610,
522064,"HONDA INDIA POWER PRODUCTS LIM",B,STK,2905,2922.1,2858,2873.05,2900,2879.6,312,1175,3390440,
522073,"The Hi-Tech Gears Ltd",T,STK,650,652.5,650,650,650,665,8,223,145456,
522074,"ELGI EQUIPMENTS LTD.",A,STK,495.35,497.8,482.5,485.8,486,490.5,484,8361,4083966,
522091,"UNITED VAN DER HORST LTD.",X,STK,158,169.9,158,167.4,169,158,96,3147,521298,
522101,"KILBURN ENGINEERING LTD.",B,STK,549,554,521.6,545.45,548.1,546.1,1828,90896,49574728,
522105,"BIRLA PRECISION TECHNOLOGIES L",X,STK,44.99,45.3,43.41,43.78,43.41,44.14,166,9504,421997,
522108,"YUKEN INDIA LTD.",B,STK,1090,1090,975.25,981.05,981.05,1000,158,444,441916,
522113,"TIMKEN INDIA LTD.",A,STK,2906.35,2926.95,2867.55,2876.85,2870.35,2931.45,439,3571,10370908,
